mode,mu,sigma,mean_u,ppl_var,ppl_max,corrected_state,text_snippet
wild,0.4,0.095,0.5006375000000001,134476.30056098988,2199.42527530152,2,"the secret to good sex  the secret to good sex A few months ago, I wrote an article for the Huffingt..."
wild,0.4,0.1,0.49924625,4192.276845149773,452.75302245250447,2,"the secret to good sex  the secret to good sex A few months ago, I wrote an article for the Huffingt..."
wild,0.405,0.01,0.5010300000000001,868601124169.385,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.405,0.015,0.5010300000000001,868601124169.385,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.405,0.02,0.5010300000000001,868601124035.4631,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.405,0.025,0.5010300000000001,868601126983.4791,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.405,0.03,0.5010300000000001,868601153922.5388,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.405,0.035,0.50152875,893306713595.2903,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.405,0.04,0.50152875,889054068578.8707,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.405,0.045,0.50333125,6277.339533840483,513.2530592266276,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.405,0.05,0.50333125,6605.25070916953,526.1294530858003,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.405,0.055,0.50333125,6987.614340752659,541.0608875128997,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.405,0.06,0.5031475000000001,835170.7925154766,8184.007804878055,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.405,0.065,0.5031475000000001,708459.0267098409,7530.168761220825,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.405,0.07,0.5035675,615799.6126646504,7013.886287625422,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.405,0.075,0.5035675,543309.0167630296,6579.30039215686,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.405,0.08,0.5010162499999999,15395.069448214626,889.3774385072093,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the Financial Times..."
wild,0.405,0.085,0.5006375000000001,135223.77519305353,2242.943315508021,2,"the secret to good sex  the secret to good sex A few months ago, I wrote an article for the Huffingt..."
wild,0.405,0.09,0.50007375,3424.2860510966434,450.0326180257512,2,"the secret to good sex  the secret to good sex A few months ago, I wrote an article for the Huffingt..."
wild,0.405,0.095,0.49924625,4155.755274359084,449.261353898886,2,"the secret to good sex  the secret to good sex A few months ago, I wrote an article for the Huffingt..."
wild,0.405,0.1,0.49548875,23269233.125071906,43018.50256410257,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.41,0.01,0.5010300000000001,868601124169.385,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.41,0.015,0.5010300000000001,868601124169.385,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.41,0.02,0.5010300000000001,868601123957.9169,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.41,0.025,0.5010300000000001,868601145847.351,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.41,0.03,0.5010300000000001,868601173012.6858,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.41,0.035,0.50152875,893306885684.1488,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.41,0.04,0.5017787499999999,868594486271.6884,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.41,0.045,0.50333125,6357.965839049936,517.5597235932872,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.41,0.05,0.50333125,6746.430016499866,531.4627470856564,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.41,0.055,0.5031475000000001,859817.1461612761,8305.552475247523,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.41,0.06,0.5031475000000001,720875.2161328592,7598.376811594207,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.41,0.065,0.5035675,614775.8066620601,7008.026733500416,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.41,0.07,0.5035675,526711.4430973341,6477.6895752895725,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.41,0.075,0.5035675,483623.7619343276,6200.005912786399,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.41,0.08,0.5010162499999999,14969.500965191157,856.6797385620914,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the Financial Times..."
wild,0.41,0.085,0.49500625,42894059827.957565,1864135.1111111103,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.41,0.09,0.49599,1193.694500587119,287.12376779846664,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.41,0.095,0.49599,1164.85449694335,283.55219037317465,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.41,0.1,0.49548875,23262322.593380317,43018.50256410257,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.415,0.01,0.5010300000000001,868601124169.385,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.415,0.015,0.5010300000000001,868601124178.74,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.415,0.02,0.5010300000000001,868601123515.6267,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.415,0.025,0.5010300000000001,868601153120.9487,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.415,0.03,0.50152875,893306753338.4756,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.415,0.035,0.50152875,889054088631.0922,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.415,0.04,0.5017787499999999,868594599076.4237,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.415,0.045,0.50333125,6530.67237148894,526.3935742971887,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.415,0.05,0.50333125,6987.957488192481,541.0608875128997,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.415,0.055,0.5031475000000001,722355.9743807095,7605.265639165917,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.415,0.06,0.5035675,614746.9190170303,7008.026733500416,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.415,0.065,0.5035675,526713.9761958151,6477.6895752895725,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.415,0.07,0.5035675,483537.8110006376,6200.005912786399,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.415,0.075,0.49402125,23065363.47704321,43240.24742268042,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.415,0.08,0.50007375,3419.801835021843,450.0326180257512,2,"the secret to good sex  the secret to good sex A few months ago, I wrote an article for the Huffingt..."
wild,0.415,0.085,0.49548875,23276254.699394327,43018.50256410257,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.415,0.09,0.49548875,23270012.26937625,43018.50256410257,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.415,0.095,0.49599,1170.461388815832,284.62975027144404,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.415,0.1,0.49548875,23134129.77287164,42908.4808184143,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.42,0.01,0.5010300000000001,868601124169.385,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.42,0.015,0.5010300000000001,868601124023.6654,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.42,0.02,0.5010300000000001,868601123304.841,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.42,0.025,0.5010300000000001,868601149016.8878,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.42,0.03,0.50152875,893306820243.3604,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.42,0.035,0.5017787499999999,868594385878.091,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.42,0.04,0.50333125,6326.540414611564,517.5597235932872,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.42,0.045,0.50333125,6724.106822872565,531.4627470856564,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.42,0.05,0.50333125,7320.924151212469,559.5389541088581,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.42,0.055,0.5031475000000001,614612.6927012168,7008.026733500416,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.42,0.06,0.5035675,524199.3648622662,6462.718027734981,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.42,0.065,0.5035675,473197.8310896529,6132.023391812862,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.42,0.07,0.5035675,422393.3649955105,5785.24689655172,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.42,0.075,0.49599,1194.7238631770422,286.33970507919173,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.42,0.08,0.49599,1192.9068896441863,287.2810958904109,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.42,0.085,0.49548875,23158985.419113614,42908.4808184143,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.42,0.09,0.49548875,23250598.16043199,43018.50256410257,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.42,0.095,0.4954275,7878019501.940297,798915.0476190483,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the rest of t..."
wild,0.42,0.1,0.4954275,7178090625.647082,762600.7272727274,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the rest of t..."
wild,0.425,0.01,0.5010300000000001,868601124169.385,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.425,0.015,0.5010300000000001,868601123840.2686,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.425,0.02,0.5010300000000001,868601119363.0457,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.425,0.025,0.50257875,868589937360.7379,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.425,0.03,0.50152875,893307005949.5687,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.425,0.035,0.5017787499999999,868594660726.5831,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.425,0.04,0.50333125,6503.158563147262,526.3935742971887,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.425,0.045,0.50333125,6922.169813710143,541.0608875128997,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.425,0.05,0.5031475000000001,614541.8150876812,7008.026733500416,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.425,0.055,0.5035675,516332.59404921456,6413.308868501524,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.425,0.06,0.5035675,462474.5189770808,6061.132947976882,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.425,0.065,0.5035675,414128.6030837941,5726.012286689418,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.425,0.07,0.49599,1194.683948245082,286.33970507919173,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.425,0.075,0.49548875,23273198.57623684,43018.50256410257,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.425,0.08,0.49599,1168.5124424187882,284.01300108342366,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.425,0.085,0.49548875,23608940.19647181,43351.97932816538,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.425,0.09,0.49548875,23487540.5012271,43240.24742268042,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.425,0.095,0.492085,64101.06463563275,2040.0311284046684,1,"the secret to good sex: it's all about communication. You can be the most loving, considerate partne..."
wild,0.425,0.1,0.492085,65339.63861210844,2070.2388943731494,1,"the secret to good sex: it's all about communication. You can be the most loving, considerate partne..."
wild,0.43,0.01,0.5010300000000001,868601124169.385,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.43,0.015,0.5010300000000001,868601123559.7781,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.43,0.02,0.5010300000000001,868601150521.6488,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.43,0.025,0.50152875,893306840014.3744,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.43,0.03,0.5017787499999999,868594481159.5109,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.43,0.035,0.50333125,6225.439486361831,513.2530592266276,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.43,0.04,0.50333125,6675.070369197225,531.4627470856564,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.43,0.045,0.50333125,7299.81030022205,559.5389541088581,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.43,0.05,0.5035675,516061.5157309187,6413.308868501524,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.43,0.055,0.5035675,446474.51706306014,5953.589779985804,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.43,0.06,0.49500625,42894059035.45395,1864135.1111111103,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.43,0.065,0.49599,1197.008642052867,286.8096280087528,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.43,0.07,0.49599,1169.2220950795115,283.7056277056277,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.43,0.075,0.49599,1170.5915001222068,284.4753119913185,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.43,0.08,0.49548875,23606791.69877968,43351.97932816538,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.43,0.085,0.49548875,23486094.00342365,43240.24742268042,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.43,0.09,0.4954275,7178093759.393869,762600.7272727274,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the rest of t..."
wild,0.43,0.095,0.49736125,7205508206.898338,762600.7272727274,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.43,0.1,0.492085,64986.10761125861,2071.261234567902,1,"the secret to good sex: it's all about communication. You can be the most loving, considerate partne..."
wild,0.435,0.01,0.5010300000000001,868601124008.4349,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.435,0.015,0.5010300000000001,868601122963.2357,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.435,0.02,0.50257875,868589954196.5009,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.435,0.025,0.50152875,893307086525.3226,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.435,0.03,0.5017787499999999,868594715535.5332,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.435,0.035,0.50333125,6341.132620970538,518.0711462450591,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.435,0.04,0.50333125,6905.55592262911,541.0608875128997,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.435,0.045,0.5031475000000001,503397.8447414224,6331.024905660373,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.435,0.05,0.5035675,436002.2757200701,5882.614305750346,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.435,0.055,0.49500625,42894058597.58496,1864135.1111111103,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.435,0.06,0.49599,1195.5852323878005,286.8096280087528,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.435,0.065,0.49599,1167.611735808032,283.55219037317465,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.435,0.07,0.49599,1170.4441657223242,284.62975027144404,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.435,0.075,0.49548875,23485476.776015475,43240.24742268042,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.435,0.08,0.4954275,7178090203.891035,762600.7272727274,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the rest of t..."
wild,0.435,0.085,0.5031950000000001,7187649143.758705,762600.7272727274,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.435,0.09,0.49736125,7205289659.891803,762600.7272727274,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.435,0.095,0.492085,65875.57633952101,2094.010983524713,1,"the secret to good sex: it's all about communication. You can be the most loving, considerate partne..."
wild,0.435,0.1,0.4931925,143339.72998264126,2709.498708010336,1,"the secret to good sex: it's all about communication. You can be the most loving, considerate partne..."
wild,0.44,0.01,0.5010300000000001,868601123899.0471,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.44,0.015,0.5003537499999999,868911244413.2776,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.44,0.02,0.50257875,868590056296.6204,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.44,0.025,0.5017787499999999,868594534501.6215,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.44,0.03,0.50333125,6225.667828356357,513.0019569471624,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.44,0.035,0.50333125,6643.730107290457,531.1935157041538,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.44,0.04,0.50333125,7298.25578745513,559.5389541088581,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.44,0.045,0.4962375,4177.866204077674,497.4269449715368,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.44,0.05,0.49599,1190.986114694299,284.4753119913185,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.44,0.055,0.49599,1197.4590701144691,287.12376779846664,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.44,0.06,0.49548875,23159108.150193814,42908.4808184143,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.44,0.065,0.49548875,23258790.708700445,43018.50256410257,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.44,0.07,0.49548875,23020108.680720165,42799.020408163255,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.44,0.075,0.4954275,7178090536.25646,762600.7272727274,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the rest of t..."
wild,0.44,0.08,0.492085,65040.30070436852,2073.308947108255,1,"the secret to good sex: it's all about communication. You can be the most loving, considerate partne..."
wild,0.44,0.085,0.492085,65945.37062425037,2095.0569430569435,1,"the secret to good sex: it's all about communication. You can be the most loving, considerate partne..."
wild,0.44,0.09,0.492085,66891.37058505772,2116.197780020181,1,"the secret to good sex: it's all about communication. You can be the most loving, considerate partne..."
wild,0.44,0.095,0.5212825000000001,321132960.5966831,161319.3846153847,4,the secret to good computer performance — it comes down to how you organize your stuff and how you p...
wild,0.44,0.1,0.5260200000000002,386005443664.9659,5592405.333333328,3b,the secret to good computer performance — it comes down to how you organize your data and how fast y...
wild,0.445,0.01,0.5010300000000001,868601123020.6631,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.445,0.015,0.5003537499999999,868911433602.199,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.445,0.02,0.50259375,868590117998.8026,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.445,0.025,0.5017787499999999,868594801062.1339,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.445,0.03,0.50333125,6315.354701290278,517.5597235932872,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.445,0.035,0.50333125,6905.902025801664,545.2813312532501,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.445,0.04,0.49500625,42894059228.83023,1864135.1111111103,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.445,0.045,0.49599,1192.3915814954278,284.4753119913185,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.445,0.05,0.49599,1197.586638261564,287.12376779846664,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.445,0.055,0.49548875,23152980.064982805,42908.4808184143,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.445,0.06,0.49548875,23250716.21103243,43018.50256410257,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.445,0.065,0.4954275,7178088755.305506,762600.7272727274,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the rest of t..."
wild,0.445,0.07,0.49548875,23704478.865463786,43464.29015544042,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.445,0.075,0.49736125,7205289858.353132,762600.7272727274,1,the secret to good sex: it's all about communication. I encourage my patients and my own family to t...
wild,0.445,0.08,0.492085,66919.64368891573,2116.197780020181,1,"the secret to good sex: it's all about communication. You can be the most loving, considerate partne..."
wild,0.445,0.085,0.5212825000000001,354398093.4616521,169466.8282828282,4,the secret to good computer performance — it comes down to how you organize your stuff and how you p...
wild,0.445,0.09,0.5212825000000001,315044347.62761843,159783.00952380948,4,the secret to good computer performance — it comes down to how you organize your stuff and how you p...
wild,0.445,0.095,0.5260200000000002,386004488802.7958,5592405.333333328,3b,the secret to good computer performance — it comes down to how you organize your data and how fast y...
wild,0.445,0.1,0.5230875,2646755.943878616,12642.96608892238,4,the secret to good computer performance — it comes down to how you organize your data and memory. Co...
wild,0.45,0.01,0.5003537499999999,868911258926.1189,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.45,0.015,0.50259375,868590130626.943,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.45,0.02,0.5017787499999999,868594619058.7936,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.45,0.025,0.50333125,5996.695975521377,500.2748091603053,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.45,0.03,0.4960675,46958.70481815095,1496.8965024982149,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
wild,0.45,0.035,0.49500625,42894059578.94445,1864135.1111111103,2,"the secret to good sex  the secret to good sex When you have good sex, you don’t spend the whole tim..."
